Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Total Sale,Time of the day,Day of the week
549-59-1358,Alex,Yangon,Member,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,2026-04-20 17:36:00,Ewallet,265.89,4.761904762,13.2945,265.89,Afternoon,Saturday
227-03-5010,Alex,Yangon,Member,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,2026-04-20 19:20:00,Credit card,420.72,4.761904762,21.036,420.72,Evening,Friday
649-29-6775,Cairo,Mandalay,Member,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,2026-04-20 15:31:00,Cash,33.52,4.761904762,1.676,33.52,Afternoon,Friday
189-17-4241,Alex,Yangon,Member,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,2026-04-20 12:17:00,Credit card,175.34,4.761904762,8.767,175.34,Afternoon,Sunday
145-94-9061,Cairo,Mandalay,Member,Food and beverages,88.36,5,22.09,463.89,2019-01-25,2026-04-20 19:48:00,Cash,441.8,4.761904762,22.09,441.8,Evening,Friday
848-62-7243,Alex,Yangon,Member,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,2026-04-20 15:36:00,Cash,224.01,4.761904762,11.2005,224.01,Afternoon,Friday
871-79-8483,Cairo,Mandalay,Member,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,2026-04-20 19:39:00,Credit card,470.65,4.761904762,23.5325,470.65,Evening,Monday
149-71-6266,Cairo,Mandalay,Member,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,2026-04-20 12:43:00,Cash,702.63,4.761904762,35.1315,702.6299999999999,Afternoon,Monday
640-49-2076,Cairo,Mandalay,Member,Sports and travel,83.78,8,33.512,703.752,2019-01-10,2026-04-20 14:49:00,Cash,670.24,4.761904762,33.512,670.24,Afternoon,Thursday
595-11-5460,Alex,Yangon,Member,Health and beauty,96.58,2,9.658,202.818,2019-03-15,2026-04-20 10:12:00,Credit card,193.16,4.761904762,9.658,193.16,Morning,Friday
183-56-6882,Giza,Naypyitaw,Member,Food and beverages,99.42,4,19.884,417.564,2019-02-06,2026-04-20 10:42:00,Ewallet,397.68,4.761904762,19.884,397.68,Morning,Wednesday
232-16-2483,Giza,Naypyitaw,Member,Sports and travel,68.12,1,3.406,71.526,2019-01-07,2026-04-20 12:28:00,Ewallet,68.12,4.761904762,3.406,68.12,Afternoon,Monday
129-29-8530,Alex,Yangon,Member,Sports and travel,62.62,5,15.655,328.755,2019-03-10,2026-04-20 19:15:00,Ewallet,313.1,4.761904762,15.655,313.09999999999997,Evening,Sunday
272-65-1806,Alex,Yangon,Member,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,2026-04-20 17:17:00,Ewallet,547.92,4.761904762,27.396,547.9200000000001,Afternoon,Tuesday
333-73-7901,Giza,Naypyitaw,Member,Health and beauty,54.92,8,21.968,461.328,2019-03-23,2026-04-20 13:24:00,Ewallet,439.36,4.761904762,21.968,439.36,Afternoon,Saturday
777-82-7220,Cairo,Mandalay,Member,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,2026-04-20 13:01:00,Cash,240.96,4.761904762,12.048,240.96,Afternoon,Sunday
280-35-5823,Cairo,Mandalay,Member,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,2026-04-20 18:45:00,Ewallet,86.72,4.761904762,4.336,86.72,Evening,Thursday
554-53-8700,Giza,Naypyitaw,Member,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,2026-04-20 10:11:00,Cash,112.22,4.761904762,5.611,112.22,Morning,Saturday
354-25-5821,Cairo,Mandalay,Member,Sports and travel,69.12,6,20.736,435.456,2019-02-08,2026-04-20 13:03:00,Cash,414.72,4.761904762,20.736,414.72,Afternoon,Friday
228-96-1411,Giza,Naypyitaw,Member,Food and beverages,98.7,8,39.48,829.08,2019-03-04,2026-04-20 20:39:00,Cash,789.6,4.761904762,39.48,789.6,Evening,Monday
617-15-4209,Giza,Naypyitaw,Member,Health and beauty,15.37,2,1.537,32.277,2019-03-16,2026-04-20 19:47:00,Cash,30.74,4.761904762,1.537,30.74,Evening,Saturday
132-32-9879,Cairo,Mandalay,Member,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,2026-04-20 18:00:00,Cash,375.84,4.761904762,18.792,375.84,Evening,Saturday
370-41-7321,Cairo,Mandalay,Member,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,2026-04-20 17:24:00,Credit card,510.21,4.761904762,25.5105,510.21,Afternoon,Wednesday
727-46-3608,Cairo,Mandalay,Member,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,2026-04-20 15:47:00,Ewallet,180.09,4.761904762,9.0045,180.09,Afternoon,Wednesday
669-54-1719,Cairo,Mandalay,Member,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,2026-04-20 12:45:00,Credit card,113.58,4.761904762,5.679,113.58,Afternoon,Sunday
574-22-5561,Giza,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,2026-04-20 17:08:00,Ewallet,826.3,4.761904762,41.315,826.3,Afternoon,Tuesday
326-78-5178,Giza,Naypyitaw,Member,Food and beverages,91.4,7,31.99,671.79,2019-02-03,2026-04-20 10:19:00,Cash,639.8,4.761904762,31.99,639.8000000000001,Morning,Sunday
162-48-8011,Alex,Yangon,Member,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,2026-04-20 15:10:00,Cash,222.95,4.761904762,11.1475,222.95000000000002,Afternoon,Sunday
616-24-2851,Cairo,Mandalay,Member,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,2026-04-20 14:42:00,Ewallet,71.48,4.761904762,3.574,71.48,Afternoon,Friday
778-71-5554,Giza,Naypyitaw,Member,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,2026-04-20 15:46:00,Credit card,15.43,4.761904762,0.7715,15.43,Afternoon,Friday
242-55-6721,Cairo,Mandalay,Member,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,2026-04-20 11:49:00,Ewallet,32.32,4.761904762,1.616,32.32,Morning,Thursday
399-46-5918,Giza,Naypyitaw,Member,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,2026-04-20 19:01:00,Cash,687.84,4.761904762,34.392,687.84,Evening,Thursday
106-35-6779,Alex,Yangon,Member,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,2026-04-20 11:26:00,Cash,88.68,4.761904762,4.434,88.68,Morning,Wednesday
635-40-6220,Alex,Yangon,Member,Health and beauty,89.6,8,35.84,752.64,2019-02-07,2026-04-20 11:28:00,Ewallet,716.8,4.761904762,35.84,716.8,Morning,Thursday
817-48-8732,Alex,Yangon,Member,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,2026-04-20 15:55:00,Cash,723.5,4.761904762,36.175,723.5,Afternoon,Sunday
120-06-4233,Giza,Naypyitaw,Member,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,2026-04-20 20:36:00,Cash,183.66,4.761904762,9.183,183.66,Evening,Tuesday
285-68-5083,Giza,Naypyitaw,Member,Sports and travel,24.74,3,3.711,77.931,2019-02-15,2026-04-20 17:47:00,Credit card,74.22,4.761904762,3.711,74.22,Afternoon,Friday
803-83-5989,Giza,Naypyitaw,Member,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,2026-04-20 10:55:00,Ewallet,334.38,4.761904762,16.719,334.38,Morning,Sunday
347-34-2234,Cairo,Mandalay,Member,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,2026-04-20 13:40:00,Ewallet,495.63,4.761904762,24.7815,495.63,Afternoon,Sunday
199-75-8169,Alex,Yangon,Member,Sports and travel,15.81,10,7.905,166.005,2019-03-06,2026-04-20 12:27:00,Credit card,158.1,4.761904762,7.905,158.1,Afternoon,Wednesday
853-23-2453,Cairo,Mandalay,Member,Health and beauty,75.74,4,15.148,318.108,2019-02-14,2026-04-20 14:35:00,Cash,302.96,4.761904762,15.148,302.96,Afternoon,Thursday
877-22-3308,Alex,Yangon,Member,Health and beauty,15.87,10,7.935,166.635,2019-03-13,2026-04-20 16:40:00,Cash,158.7,4.761904762,7.935,158.7,Afternoon,Wednesday
838-78-4295,Giza,Naypyitaw,Member,Health and beauty,33.47,2,3.347,70.287,2019-02-10,2026-04-20 15:43:00,Ewallet,66.94,4.761904762,3.347,66.94,Afternoon,Sunday
109-28-2512,Cairo,Mandalay,Member,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,2026-04-20 15:01:00,Ewallet,585.66,4.761904762,29.283,585.66,Afternoon,Monday
232-11-3025,Alex,Yangon,Member,Sports and travel,78.77,10,39.385,827.085,2019-01-24,2026-04-20 10:04:00,Cash,787.7,4.761904762,39.385,787.6999999999999,Morning,Thursday
382-03-4532,Alex,Yangon,Member,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,2026-04-20 18:50:00,Cash,18.33,4.761904762,0.9165,18.33,Evening,Saturday
393-65-2792,Giza,Naypyitaw,Member,Food and beverages,89.48,10,44.74,939.54,2019-01-06,2026-04-20 12:46:00,Credit card,894.8,4.761904762,44.74,894.8000000000001,Afternoon,Sunday
796-12-2025,Giza,Naypyitaw,Member,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,2026-04-20 16:19:00,Cash,621.2,4.761904762,31.06,621.1999999999999,Afternoon,Monday
510-95-6347,Cairo,Mandalay,Member,Food and beverages,48.52,3,7.278,152.838,2019-03-05,2026-04-20 18:17:00,Ewallet,145.56,4.761904762,7.278,145.56,Evening,Tuesday
841-35-6630,Giza,Naypyitaw,Member,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,2026-04-20 18:21:00,Cash,455.46,4.761904762,22.773,455.46,Evening,Saturday
287-21-9091,Alex,Yangon,Member,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,2026-04-20 10:55:00,Ewallet,672.03,4.761904762,33.6015,672.03,Morning,Tuesday
732-94-0499,Giza,Naypyitaw,Member,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,2026-04-20 17:04:00,Credit card,416.5,4.761904762,20.825,416.5,Afternoon,Sunday
263-10-3913,Giza,Naypyitaw,Member,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,2026-04-20 14:20:00,Credit card,441.36,4.761904762,22.068,441.36,Afternoon,Wednesday
381-20-0914,Alex,Yangon,Member,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,2026-04-20 15:48:00,Credit card,180.09,4.761904762,9.0045,180.09,Afternoon,Saturday
829-49-1914,Giza,Naypyitaw,Member,Food and beverages,78.31,10,39.155,822.255,2019-03-05,2026-04-20 16:24:00,Ewallet,783.1,4.761904762,39.155,783.1,Afternoon,Tuesday
756-01-7507,Giza,Naypyitaw,Member,Health and beauty,20.38,5,5.095,106.995,2019-01-22,2026-04-20 18:56:00,Cash,101.9,4.761904762,5.095,101.89999999999999,Evening,Tuesday
870-72-4431,Giza,Naypyitaw,Member,Health and beauty,99.19,6,29.757,624.897,2019-01-21,2026-04-20 14:42:00,Credit card,595.14,4.761904762,29.757,595.14,Afternoon,Monday
847-38-7188,Cairo,Mandalay,Member,Food and beverages,96.68,3,14.502,304.542,2019-01-26,2026-04-20 19:56:00,Ewallet,290.04,4.761904762,14.502,290.04,Evening,Saturday
480-63-2856,Giza,Naypyitaw,Member,Food and beverages,19.25,8,7.7,161.7,2019-01-23,2026-04-20 18:37:00,Ewallet,154.0,4.761904762,7.7,154.0,Evening,Wednesday
787-56-0757,Giza,Naypyitaw,Member,Food and beverages,80.36,4,16.072,337.512,2019-02-23,2026-04-20 18:45:00,Credit card,321.44,4.761904762,16.072,321.44,Evening,Saturday
360-39-5055,Giza,Naypyitaw,Member,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,2026-04-20 10:17:00,Cash,244.55,4.761904762,12.2275,244.54999999999998,Morning,Saturday
730-50-9884,Giza,Naypyitaw,Member,Sports and travel,83.06,7,29.071,610.491,2019-03-05,2026-04-20 14:31:00,Ewallet,581.42,4.761904762,29.071,581.4200000000001,Afternoon,Tuesday
362-58-8315,Giza,Naypyitaw,Member,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,2026-04-20 10:23:00,Cash,382.6,4.761904762,19.13,382.59999999999997,Morning,Monday
633-44-8566,Alex,Yangon,Member,Food and beverages,49.38,7,17.283,362.943,2019-03-27,2026-04-20 20:35:00,Credit card,345.66,4.761904762,17.283,345.66,Evening,Wednesday
504-35-8843,Alex,Yangon,Member,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,2026-04-20 16:57:00,Cash,42.47,4.761904762,2.1235,42.47,Afternoon,Wednesday
318-68-5053,Cairo,Mandalay,Member,Health and beauty,76.99,6,23.097,485.037,2019-02-27,2026-04-20 17:55:00,Cash,461.94,4.761904762,23.097,461.93999999999994,Afternoon,Wednesday
565-80-5980,Giza,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,2026-04-20 10:25:00,Cash,189.52,4.761904762,9.476,189.52,Morning,Wednesday
225-32-0908,Giza,Naypyitaw,Member,Sports and travel,44.86,10,22.43,471.03,2019-01-26,2026-04-20 19:54:00,Ewallet,448.6,4.761904762,22.43,448.6,Evening,Saturday
873-51-0671,Alex,Yangon,Member,Sports and travel,21.98,7,7.693,161.553,2019-01-10,2026-04-20 16:42:00,Ewallet,153.86,4.761904762,7.693,153.86,Afternoon,Thursday
152-08-9985,Cairo,Mandalay,Member,Health and beauty,64.36,9,28.962,608.202,2019-03-12,2026-04-20 12:09:00,Credit card,579.24,4.761904762,28.962,579.24,Afternoon,Tuesday
512-91-0811,Giza,Naypyitaw,Member,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,2026-04-20 20:05:00,Credit card,89.75,4.761904762,4.4875,89.75,Evening,Wednesday
594-34-4444,Alex,Yangon,Member,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,2026-04-20 20:38:00,Ewallet,97.16,4.761904762,4.858,97.16,Evening,Friday
766-85-7061,Cairo,Mandalay,Member,Health and beauty,87.87,10,43.935,922.635,2019-03-29,2026-04-20 10:25:00,Ewallet,878.7,4.761904762,43.935,878.7,Morning,Friday
871-39-9221,Giza,Naypyitaw,Member,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,2026-04-20 13:11:00,Cash,74.7,4.761904762,3.735,74.69999999999999,Afternoon,Saturday
865-92-6136,Alex,Yangon,Member,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,2026-04-20 10:16:00,Ewallet,158.25,4.761904762,7.9125,158.25,Morning,Saturday
733-01-9107,Cairo,Mandalay,Member,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,2026-04-20 18:14:00,Cash,496.2,4.761904762,24.81,496.20000000000005,Evening,Tuesday
163-56-7055,Giza,Naypyitaw,Member,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,2026-04-20 19:20:00,Cash,48.71,4.761904762,2.4355,48.71,Evening,Tuesday
189-98-2939,Giza,Naypyitaw,Member,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,2026-04-20 13:22:00,Cash,706.95,4.761904762,35.3475,706.9499999999999,Afternoon,Friday
551-21-3069,Giza,Naypyitaw,Member,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,2026-04-20 11:27:00,Cash,207.63,4.761904762,10.3815,207.63,Morning,Friday
212-62-1842,Alex,Yangon,Member,Food and beverages,58.26,6,17.478,367.038,2019-03-28,2026-04-20 16:44:00,Cash,349.56,4.761904762,17.478,349.56,Afternoon,Thursday
716-39-1409,Cairo,Mandalay,Member,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,2026-04-20 18:19:00,Cash,212.45,4.761904762,10.6225,212.45000000000002,Evening,Tuesday
704-48-3927,Alex,Yangon,Member,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,2026-04-20 14:50:00,Ewallet,886.7,4.761904762,44.335,886.7,Afternoon,Saturday
628-34-3388,Giza,Naypyitaw,Member,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,2026-04-20 20:54:00,Credit card,164.28,4.761904762,8.214,164.28,Evening,Saturday
630-74-5166,Alex,Yangon,Member,Sports and travel,62.13,6,18.639,391.419,2019-03-22,2026-04-20 20:19:00,Cash,372.78,4.761904762,18.639,372.78000000000003,Evening,Friday
588-01-7461,Giza,Naypyitaw,Member,Food and beverages,33.98,9,15.291,321.111,2019-03-24,2026-04-20 10:43:00,Cash,305.82,4.761904762,15.291,305.82,Morning,Sunday
861-77-0145,Giza,Naypyitaw,Member,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,2026-04-20 14:30:00,Cash,819.7,4.761904762,40.985,819.7,Afternoon,Sunday
479-26-8945,Cairo,Mandalay,Member,Sports and travel,16.49,2,1.649,34.629,2019-02-05,2026-04-20 11:32:00,Ewallet,32.98,4.761904762,1.649,32.98,Morning,Tuesday
210-67-5886,Giza,Naypyitaw,Member,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,2026-04-20 10:41:00,Credit card,294.63,4.761904762,14.7315,294.63,Morning,Tuesday
227-78-1148,Cairo,Mandalay,Member,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,2026-04-20 12:44:00,Cash,509.88,4.761904762,25.494,509.88,Afternoon,Friday
645-44-1170,Alex,Yangon,Member,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,2026-04-20 20:07:00,Ewallet,522.63,4.761904762,26.1315,522.63,Evening,Saturday
237-01-6122,Giza,Naypyitaw,Member,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,2026-04-20 20:31:00,Credit card,727.11,4.761904762,36.3555,727.11,Evening,Friday
225-98-1496,Giza,Naypyitaw,Member,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,2026-04-20 13:01:00,Credit card,81.06,4.761904762,4.053,81.06,Afternoon,Saturday
291-32-1427,Cairo,Mandalay,Member,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,2026-04-20 12:29:00,Ewallet,109.7,4.761904762,5.485,109.7,Afternoon,Tuesday
659-65-8956,Cairo,Mandalay,Member,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,2026-04-20 15:26:00,Ewallet,51.36,4.761904762,2.568,51.36,Afternoon,Wednesday
642-32-2990,Alex,Yangon,Member,Food and beverages,10.96,10,5.48,115.08,2019-02-02,2026-04-20 20:48:00,Ewallet,109.6,4.761904762,5.48,109.60000000000001,Evening,Saturday
378-24-2715,Cairo,Mandalay,Member,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,2026-04-20 20:38:00,Ewallet,106.88,4.761904762,5.344,106.88,Evening,Sunday
638-60-7125,Alex,Yangon,Member,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,2026-04-20 17:03:00,Credit card,796.48,4.761904762,39.824,796.48,Afternoon,Thursday
659-36-1684,Giza,Naypyitaw,Member,Sports and travel,57.12,7,19.992,419.832,2019-01-12,2026-04-20 12:02:00,Credit card,399.84,4.761904762,19.992,399.84,Afternoon,Saturday
219-22-9386,Cairo,Mandalay,Member,Sports and travel,99.96,9,44.982,944.622,2019-03-09,2026-04-20 17:26:00,Credit card,899.64,4.761904762,44.982,899.64,Afternoon,Saturday
336-78-2147,Giza,Naypyitaw,Member,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,2026-04-20 19:52:00,Credit card,511.28,4.761904762,25.564,511.28,Evening,Wednesday
268-27-6179,Cairo,Mandalay,Member,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,2026-04-20 14:57:00,Ewallet,451.76,4.761904762,22.588,451.76,Afternoon,Saturday
668-90-8900,Alex,Yangon,Member,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,2026-04-20 18:44:00,Credit card,655.83,4.761904762,32.7915,655.8299999999999,Evening,Sunday
870-54-3162,Alex,Yangon,Member,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,2026-04-20 13:26:00,Cash,161.25,4.761904762,8.0625,161.25,Afternoon,Sunday
189-08-9157,Giza,Naypyitaw,Member,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,2026-04-20 16:17:00,Credit card,285.57,4.761904762,14.2785,285.57,Afternoon,Tuesday
663-86-9076,Giza,Naypyitaw,Member,Food and beverages,68.54,8,27.416,575.736,2019-01-08,2026-04-20 15:57:00,Ewallet,548.32,4.761904762,27.416,548.32,Afternoon,Tuesday
549-84-7482,Cairo,Mandalay,Member,Sports and travel,90.28,9,40.626,853.146,2019-02-08,2026-04-20 11:15:00,Ewallet,812.52,4.761904762,40.626,812.52,Morning,Friday
191-10-6171,Cairo,Mandalay,Normal,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,2026-04-20 13:18:00,Cash,277.34,4.761904762,13.867,277.34,Afternoon,Friday
802-70-5316,Alex,Yangon,Member,Sports and travel,92.13,6,27.639,580.419,2019-03-06,2026-04-20 20:34:00,Cash,552.78,4.761904762,27.639,552.78,Evening,Wednesday
695-51-0018,Cairo,Mandalay,Normal,Sports and travel,34.84,4,6.968,146.328,2019-02-10,2026-04-20 18:36:00,Cash,139.36,4.761904762,6.968,139.36,Evening,Sunday
590-83-4591,Cairo,Mandalay,Member,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,2026-04-20 14:40:00,Credit card,524.7,4.761904762,26.235,524.7,Afternoon,Sunday
483-71-1164,Giza,Naypyitaw,Normal,Health and beauty,81.3,6,24.39,512.19,2019-03-08,2026-04-20 16:43:00,Ewallet,487.8,4.761904762,24.39,487.79999999999995,Afternoon,Friday
597-78-7908,Giza,Naypyitaw,Normal,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,2026-04-20 19:39:00,Cash,270.66,4.761904762,13.533,270.65999999999997,Evening,Monday
700-81-1757,Alex,Yangon,Normal,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,2026-04-20 20:59:00,Credit card,131.55,4.761904762,6.5775,131.54999999999998,Evening,Friday
354-39-5160,Alex,Yangon,Member,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,2026-04-20 15:39:00,Cash,206.52,4.761904762,10.326,206.52,Afternoon,Monday
241-72-9525,Cairo,Mandalay,Normal,Sports and travel,51.91,10,25.955,545.055,2019-02-16,2026-04-20 12:21:00,Cash,519.1,4.761904762,25.955,519.0999999999999,Afternoon,Saturday
575-30-8091,Alex,Yangon,Normal,Sports and travel,72.5,8,29.0,609.0,2019-03-16,2026-04-20 19:25:00,Ewallet,580.0,4.761904762,29.0,580.0,Evening,Saturday
731-81-9469,Giza,Naypyitaw,Member,Sports and travel,89.8,10,44.9,942.9,2019-01-23,2026-04-20 13:00:00,Credit card,898.0,4.761904762,44.9,898.0,Afternoon,Wednesday
280-17-4359,Giza,Naypyitaw,Member,Health and beauty,90.5,10,45.25,950.25,2019-01-25,2026-04-20 13:48:00,Cash,905.0,4.761904762,45.25,905.0,Afternoon,Friday
